Date : 2023-10-19 11:07:50
Directory : /Users/imogen/Desktop/herdtools7
Total : 1604 files,  150632 codes, 24957 comments, 24104 blanks, all 199693 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| OCaml           |        520 |     97,308 |     14,548 |     16,286 |    128,142 |
| XML             |          2 |      8,123 |          0 |          1 |      8,124 |
| LaTeX           |         11 |      6,966 |        428 |        772 |      8,166 |
| OCaml Interface |        305 |      5,234 |      6,757 |      2,605 |     14,596 |
| JavaScript      |        410 |      5,178 |         72 |        605 |      5,855 |
| Menhir          |         18 |      4,768 |         96 |        688 |      5,552 |
| OCamllex        |         49 |      4,288 |      1,427 |        529 |      6,244 |
| C               |         54 |      3,257 |        939 |        509 |      4,705 |
| OCamldoc        |          6 |      2,495 |          0 |        803 |      3,298 |
| HTML            |          3 |      2,418 |          3 |         24 |      2,445 |
| Python          |         23 |      2,387 |         84 |        207 |      2,678 |
| CSS             |          5 |      2,155 |          9 |         13 |      2,177 |
| Properties      |        138 |      1,617 |        224 |        149 |      1,990 |
| Log             |          4 |      1,219 |          0 |         98 |      1,317 |
| Makefile        |          5 |        971 |         27 |        257 |      1,255 |
| C++             |         15 |        596 |        267 |        205 |      1,068 |
| Cram Test       |          5 |        428 |          0 |         81 |        509 |
| BibTeX          |          1 |        426 |          0 |         77 |        503 |
| Shell Script    |         19 |        421 |         41 |         90 |        552 |
| Markdown        |          5 |        180 |          0 |         92 |        272 |
| TeX             |          4 |        116 |         25 |          4 |        145 |
| YAML            |          1 |         52 |          8 |          8 |         68 |
| opam            |          1 |         29 |          2 |          1 |         32 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |      1,604 |    150,632 |     24,957 |     24,104 |    199,693 |
| . (Files)                                                                                      |         11 |        705 |         26 |        156 |        887 |
| asllib                                                                                         |         58 |     13,789 |      2,432 |      2,544 |     18,765 |
| asllib (Files)                                                                                 |         48 |     12,697 |      2,417 |      2,383 |     17,497 |
| asllib/tests                                                                                   |         10 |      1,092 |         15 |        161 |      1,268 |
| asllib/tests (Files)                                                                           |          7 |        902 |         15 |        128 |      1,045 |
| asllib/tests/ASLSemanticsReference.t                                                           |          1 |         53 |          0 |          4 |         57 |
| asllib/tests/asl.t                                                                             |          2 |        137 |          0 |         29 |        166 |
| catalogue                                                                                      |         45 |      2,718 |         62 |        208 |      2,988 |
| catalogue/aarch64                                                                              |          2 |         80 |          6 |          5 |         91 |
| catalogue/aarch64 (Files)                                                                      |          1 |         66 |          6 |          4 |         76 |
| catalogue/aarch64-ETS2                                                                         |          2 |         44 |          0 |          6 |         50 |
| catalogue/aarch64-ETS2 (Files)                                                                 |          1 |         17 |          0 |          4 |         21 |
| catalogue/aarch64-ETS2/cfgs                                                                    |          1 |         27 |          0 |          2 |         29 |
| catalogue/aarch64-MTE                                                                          |          3 |      1,198 |          0 |          6 |      1,204 |
| catalogue/aarch64-MTE (Files)                                                                  |          1 |      1,150 |          0 |          4 |      1,154 |
| catalogue/aarch64-MTE-mixed                                                                    |          3 |         68 |          0 |          6 |         74 |
| catalogue/aarch64-MTE-mixed (Files)                                                            |          1 |         11 |          0 |          4 |         15 |
| catalogue/aarch64-MTE-mixed/cats                                                               |          1 |         28 |          0 |          1 |         29 |
| catalogue/aarch64-MTE-mixed/cfgs                                                               |          1 |         29 |          0 |          1 |         30 |
| catalogue/aarch64-MTE-pick                                                                     |          2 |         31 |          0 |          5 |         36 |
| catalogue/aarch64-MTE-pick (Files)                                                             |          1 |         11 |          0 |          4 |         15 |
| catalogue/aarch64-MTE-pick/cfgs                                                                |          1 |         20 |          0 |          1 |         21 |
| catalogue/aarch64-MTE/cats                                                                     |          1 |         28 |          0 |          1 |         29 |
| catalogue/aarch64-MTE/cfgs                                                                     |          1 |         20 |          0 |          1 |         21 |
| catalogue/aarch64-VMSA                                                                         |          2 |         44 |          0 |          6 |         50 |
| catalogue/aarch64-VMSA (Files)                                                                 |          1 |         17 |          0 |          4 |         21 |
| catalogue/aarch64-VMSA/cfgs                                                                    |          1 |         27 |          0 |          2 |         29 |
| catalogue/aarch64-down-one-leg                                                                 |          2 |         85 |          5 |          5 |         95 |
| catalogue/aarch64-down-one-leg (Files)                                                         |          1 |         70 |          5 |          4 |         79 |
| catalogue/aarch64-down-one-leg/cfgs                                                            |          1 |         15 |          0 |          1 |         16 |
| catalogue/aarch64-faults                                                                       |          2 |         29 |          0 |          5 |         34 |
| catalogue/aarch64-faults (Files)                                                               |          1 |         15 |          0 |          4 |         19 |
| catalogue/aarch64-faults/cfgs                                                                  |          1 |         14 |          0 |          1 |         15 |
| catalogue/aarch64-ifetch                                                                       |          2 |         44 |          0 |          6 |         50 |
| catalogue/aarch64-ifetch (Files)                                                               |          1 |         17 |          0 |          4 |         21 |
| catalogue/aarch64-ifetch/cfgs                                                                  |          1 |         27 |          0 |          2 |         29 |
| catalogue/aarch64-mixed                                                                        |          2 |         48 |          0 |          5 |         53 |
| catalogue/aarch64-mixed (Files)                                                                |          1 |         19 |          0 |          4 |         23 |
| catalogue/aarch64-mixed/cfgs                                                                   |          1 |         29 |          0 |          1 |         30 |
| catalogue/aarch64-pick                                                                         |          2 |         76 |          5 |          6 |         87 |
| catalogue/aarch64-pick (Files)                                                                 |          1 |         62 |          5 |          5 |         72 |
| catalogue/aarch64-pick/cfgs                                                                    |          1 |         14 |          0 |          1 |         15 |
| catalogue/aarch64/cfgs                                                                         |          1 |         14 |          0 |          1 |         15 |
| catalogue/c11popl15                                                                            |         10 |        565 |         45 |         95 |        705 |
| catalogue/c11popl15 (Files)                                                                    |          7 |        411 |         37 |         82 |        530 |
| catalogue/c11popl15/cfgs                                                                       |          2 |         54 |          2 |          2 |         58 |
| catalogue/c11popl15/tests                                                                      |          1 |        100 |          6 |         11 |        117 |
| catalogue/c11popl15/tests/illustrative                                                         |          1 |        100 |          6 |         11 |        117 |
| catalogue/c11popl15/tests/illustrative/templates                                               |          1 |        100 |          6 |         11 |        117 |
| catalogue/demo                                                                                 |          3 |        100 |          1 |         16 |        117 |
| catalogue/demo (Files)                                                                         |          1 |         58 |          0 |         14 |         72 |
| catalogue/demo/cfgs                                                                            |          2 |         42 |          1 |          2 |         45 |
| catalogue/herding-cats                                                                         |          2 |         57 |          0 |         10 |         67 |
| catalogue/herding-cats (Files)                                                                 |          1 |         42 |          0 |          9 |         51 |
| catalogue/herding-cats/cfgs                                                                    |          1 |         15 |          0 |          1 |         16 |
| catalogue/linux                                                                                |          2 |         33 |          0 |          5 |         38 |
| catalogue/linux (Files)                                                                        |          1 |         10 |          0 |          4 |         14 |
| catalogue/linux/cfgs                                                                           |          1 |         23 |          0 |          1 |         24 |
| catalogue/tutorial                                                                             |          2 |        169 |          0 |         16 |        185 |
| catalogue/tutorial (Files)                                                                     |          1 |        154 |          0 |         15 |        169 |
| catalogue/tutorial/cfgs                                                                        |          1 |         15 |          0 |          1 |         16 |
| catalogue/x86                                                                                  |          2 |         47 |          0 |          5 |         52 |
| catalogue/x86 (Files)                                                                          |          1 |         33 |          0 |          4 |         37 |
| catalogue/x86/cfgs                                                                             |          1 |         14 |          0 |          1 |         15 |
| doc                                                                                            |         40 |      9,418 |        501 |      1,139 |     11,058 |
| doc (Files)                                                                                    |         35 |      9,270 |        491 |      1,130 |     10,891 |
| doc/tools                                                                                      |          3 |        132 |          6 |          7 |        145 |
| doc/tst-co                                                                                     |          1 |          8 |          4 |          1 |         13 |
| doc/tst-co/src                                                                                 |          1 |          8 |          4 |          1 |         13 |
| doc/tst-x86                                                                                    |          1 |          8 |          0 |          1 |          9 |
| gen                                                                                            |        120 |     17,185 |      2,773 |      3,493 |     23,451 |
| gen (Files)                                                                                    |        119 |     17,180 |      2,728 |      3,487 |     23,395 |
| gen/libdir                                                                                     |          1 |          5 |         45 |          6 |         56 |
| herd                                                                                           |        167 |     23,977 |      4,427 |      4,122 |     32,526 |
| herd (Files)                                                                                   |        146 |     23,592 |      4,389 |      4,039 |     32,020 |
| herd-www                                                                                       |        428 |     18,522 |        144 |        765 |     19,431 |
| herd-www (Files)                                                                               |         10 |        678 |         60 |        126 |        864 |
| herd-www/www                                                                                   |        418 |     17,844 |         84 |        639 |     18,567 |
| herd-www/www (Files)                                                                           |          7 |      2,688 |         43 |        239 |      2,970 |
| herd-www/www/BS                                                                                |          4 |          4 |         15 |          1 |         20 |
| herd-www/www/ace                                                                               |        402 |      2,751 |         21 |        390 |      3,162 |
| herd-www/www/ace (Files)                                                                       |        236 |      1,595 |         14 |        225 |      1,834 |
| herd-www/www/ace/snippets                                                                      |        166 |      1,156 |          7 |        165 |      1,328 |
| herd-www/www/fonts                                                                             |          1 |        288 |          0 |          0 |        288 |
| herd-www/www/whhg-font                                                                         |          4 |     12,113 |          5 |          9 |     12,127 |
| herd-www/www/whhg-font (Files)                                                                 |          2 |      2,193 |          5 |          7 |      2,205 |
| herd-www/www/whhg-font/css                                                                     |          1 |      2,085 |          0 |          1 |      2,086 |
| herd-www/www/whhg-font/font                                                                    |          1 |      7,835 |          0 |          1 |      7,836 |
| herd/libdir                                                                                    |          9 |        312 |         37 |         69 |        418 |
| herd/libdir (Files)                                                                            |          7 |        102 |          5 |          7 |        114 |
| herd/libdir/asl-pseudocode                                                                     |          2 |        210 |         32 |         62 |        304 |
| herd/tests                                                                                     |         12 |         73 |          1 |         14 |         88 |
| herd/tests/diycross                                                                            |          4 |         60 |          1 |          5 |         66 |
| herd/tests/diycross/AArch64.MTE                                                                |          1 |         24 |          1 |          2 |         27 |
| herd/tests/diycross/AArch64.mixed                                                              |          1 |         12 |          0 |          1 |         13 |
| herd/tests/diycross/AArch64.mixed.strict                                                       |          1 |         12 |          0 |          1 |         13 |
| herd/tests/diycross/AArch64.mixed.v32                                                          |          1 |         12 |          0 |          1 |         13 |
| herd/tests/instructions                                                                        |          8 |         13 |          0 |          9 |         22 |
| herd/tests/instructions/AArch32                                                                |          1 |          1 |          0 |          1 |          2 |
| herd/tests/instructions/AArch64.ASL                                                            |          1 |          1 |          0 |          1 |          2 |
| herd/tests/instructions/AArch64.MTE                                                            |          1 |          1 |          0 |          1 |          2 |
| herd/tests/instructions/AArch64.kvm                                                            |          1 |          1 |          0 |          2 |          3 |
| herd/tests/instructions/AArch64.mixed                                                          |          1 |          2 |          0 |          1 |          3 |
| herd/tests/instructions/AArch64.self                                                           |          1 |          3 |          0 |          1 |          4 |
| herd/tests/instructions/ASL-pseudo-arch                                                        |          1 |          1 |          0 |          1 |          2 |
| herd/tests/instructions/C                                                                      |          1 |          3 |          0 |          1 |          4 |
| internal                                                                                       |         41 |      2,362 |        898 |        586 |      3,846 |
| internal (Files)                                                                               |          5 |        651 |        107 |        127 |        885 |
| internal/lib                                                                                   |         36 |      1,711 |        791 |        459 |      2,961 |
| internal/lib (Files)                                                                           |         26 |      1,056 |        623 |        325 |      2,004 |
| internal/lib/tests                                                                             |         10 |        655 |        168 |        134 |        957 |
| jingle                                                                                         |         13 |      2,610 |        207 |        302 |      3,119 |
| lib                                                                                            |        275 |     25,640 |      6,405 |      5,178 |     37,223 |
| lib (Files)                                                                                    |        273 |     24,744 |      6,368 |      5,076 |     36,188 |
| lib/tests                                                                                      |          2 |        896 |         37 |        102 |      1,035 |
| litmus                                                                                         |        307 |     22,634 |      5,118 |      3,393 |     31,145 |
| litmus (Files)                                                                                 |        150 |     17,862 |      3,761 |      2,585 |     24,208 |
